age,men,women
17,01:41:53,01:45:36
18,01:42:43,01:46:19
19,01:40:44,01:45:31
20,01:40:09,01:52:36
21,01:38:54,01:49:52
22,01:37:48,01:53:09
23,01:38:26,01:50:41
24,01:39:22,01:51:07
25,01:37:59,01:51:56
26,01:38:57,01:49:42
27,01:38:03,01:49:52
28,01:38:09,01:49:45
29,01:37:46,01:49:32
30,01:37:46,01:50:32
31,01:38:41,01:49:00
32,01:38:12,01:48:41
33,01:38:51,01:51:05
34,01:38:33,01:51:01
35,01:38:21,01:50:56
36,01:38:41,01:50:11
37,01:38:53,01:51:13
38,01:38:50,01:47:58
39,01:38:30,01:48:48
40,01:39:12,01:51:35
41,01:38:50,01:49:42
42,01:40:23,01:50:36
43,01:39:55,01:50:04
44,01:39:35,01:51:43
45,01:40:08,01:52:03
46,01:39:58,01:52:39
47,01:40:36,01:52:45
48,01:41:11,01:53:31
49,01:41:15,01:52:17
50,01:41:59,01:53:34
51,01:42:07,01:55:32
52,01:43:52,01:52:28
53,01:43:07,01:53:00
54,01:44:35,01:54:41
55,01:44:10,01:53:09
56,01:45:35,01:55:21
57,01:46:13,01:54:01
58,01:47:34,01:57:30
59,01:47:28,01:57:46
60,01:46:48,01:57:08
61,01:47:34,
62,01:48:46,
63,01:49:47,
64,01:50:00,
65,01:49:05,
66,01:53:52,
67,01:51:19,
