Year of birth,Time between worst and best times
1988,00:14:04
1979,00:23:54
1965,00:06:11
1963,00:08:36
1964,00:20:52
1965,00:08:57
1952,00:17:42
1952,00:21:02
1977,00:36:18
1971,00:10:09
1969,00:10:57
1965,00:06:34
1951,00:12:24
1951,00:15:55
1957,00:17:34
1959,00:11:01
1967,00:08:20
1957,00:06:57
1962,00:12:35
1966,00:02:52
1990,00:09:05
1957,00:08:23
1978,00:11:09
1965,00:11:52
1970,00:08:25
1954,00:05:17
1975,00:12:30
1960,00:09:12
1982,00:20:35
1951,00:10:04
1967,00:08:43
1968,00:09:01
1971,00:05:57
1967,00:21:57
1978,00:20:39
1976,00:13:41
1956,00:16:32
1967,00:07:09
1963,00:07:43
1975,00:10:20
1968,00:06:11
1951,00:10:14
1982,00:12:25
1948,00:28:39
1959,00:32:43
1977,00:18:28
1979,00:10:39
1954,00:12:19
1967,00:12:00
1978,00:21:17
1967,00:05:43
1967,00:23:52
1951,00:44:16
1957,00:07:45
